iso3c,Country,Year,Sex,Age_Int,Age_Lower,Deaths,Population,mr,mra,source,Age_Int_cut,Sex_name,asmr
EST,Estonia,2020,m,All ages,NA,301.90000000000055,628456,48.03836704558482,48.03836704558482,Excess deaths,NA,Males,46.605675076397965
EST,Estonia,2021,b,All ages,NA,3196.800000000001,1326539,240.9880146757842,240.9880146757842,Excess deaths,NA,Both sexes,202.02889657708633
EST,Estonia,2021,f,All ages,NA,1560,698083,223.4691290290696,223.4691290290696,Excess deaths,NA,Females,164.18238301725717
EST,Estonia,2021,m,All ages,NA,1636.8000000000002,628456,260.4478276919944,260.4478276919944,Excess deaths,NA,Males,260.3246521355834
FIN,Finland,2020,b,All ages,NA,2040.5,5540718,36.82735703206696,36.82735703206696,Excess deaths,NA,Both sexes,28.819969135636427
FIN,Finland,2020,f,All ages,NA,991.4000000000015,2808312,35.30234532345414,35.30234532345414,Excess deaths,NA,Females,24.140587179145772
FIN,Finland,2020,m,All ages,NA,1049.0999999999985,2732406,38.394733432732856,38.394733432732856,Excess deaths,NA,Males,33.10619714074206
FIN,Finland,2021,b,All ages,NA,2901.4000000000015,5540718,52.36505449293759,52.36505449293759,Excess deaths,NA,Both sexes,38.94886509894798
FIN,Finland,2021,f,All ages,NA,1369.4000000000015,2808312,48.76238822467025,48.76238822467025,Excess deaths,NA,Females,33.38028521413732
FIN,Finland,2021,m,All ages,NA,1532,2732406,56.06780251543878,56.06780251543878,Excess deaths,NA,Males,45.30570785770513
FRA,France,2020,b,All ages,NA,64984.69999999995,65273512,99.55753568154867,99.55753568154867,Excess deaths,NA,Both sexes,71.99947184817302
FRA,France,2020,f,All ages,NA,29544.79999999999,33684317,87.71084775149215,87.71084775149215,Excess deaths,NA,Females,58.86802609413992
FRA,France,2020,m,All ages,NA,35439.90000000002,31589195,112.18994342844135,112.18994342844135,Excess deaths,NA,Males,87.11637059081617
FRA,France,2021,b,All ages,NA,38215.59999999998,65273512,58.546872734532776,58.546872734532776,Excess deaths,NA,Both sexes,42.538358439939444
FRA,France,2021,f,All ages,NA,13488.200000000012,33684317,40.042967176683476,40.042967176683476,Excess deaths,NA,Females,26.476118246710143
FRA,France,2021,m,All ages,NA,24727.400000000023,31589195,78.27803145980776,78.27803145980776,Excess deaths,NA,Males,60.84364559596121
GBR_SCO,Scotland,2020,b,All ages,NA,7137.4000000000015,5466000,130.5781192828394,130.5781192828394,Excess deaths,NA,Both sexes,111.2506765824486
GBR_SCO,Scotland,2020,f,All ages,NA,3075.7000000000044,2800000,109.84642857142873,109.84642857142873,Excess deaths,NA,Females,93.29255488184134
GBR_SCO,Scotland,2020,m,All ages,NA,4061.7000000000007,2665000,152.40900562851783,152.40900562851783,Excess deaths,NA,Males,130.34740249076648
GBR_SCO,Scotland,2021,b,All ages,NA,5949.199999999997,5466000,108.84010245151843,108.84010245151843,Excess deaths,NA,Both sexes,93.39606580508244
GBR_SCO,Scotland,2021,f,All ages,NA,2606.800000000003,2800000,93.10000000000011,93.10000000000011,Excess deaths,NA,Females,80.16347968622833
GBR_SCO,Scotland,2021,m,All ages,NA,3342.4000000000015,2665000,125.41838649155729,125.41838649155729,Excess deaths,NA,Males,107.10148334872297
